PMID,Title,Abstract,Year,Authors,Journal
40974187,Exploring Multi-Omics Tools and Their Advancement to Study Drought Stress Responses.,"Climate change poses significant threats to optimal crop production, with drought emerging as a major challenge impacting food security. To meet the demands of a growing population under increasingly variable environmental conditions, it is central to comprehend plant responses to stress. Recent advancements in omics technologies have transformed our understanding of drought-responsive genes, associated networks and pathways at the genome-wide level. These tools enable comprehensive insights into the genetic and molecular mechanisms governing drought response and help us to identify critical genes, regulatory networks, and stress response pathways. This comprehensive review explores the potential of multi-omics approaches in plant functional genomics, aiming to provide a holistic view of drought tolerance mechanisms by integrating data from diverse omics disciplines. By unravelling the complexities of gene regulation, protein dynamics, and metabolic pathways, these integrative tools offer a path toward precise crop improvement strategies. Further, we have also discussed the challenges that persist in integrating these approaches to develop high-yielding, drought-resilient crop varieties. Overall, this article addresses the challenges of utilizing a multi-omics strategy to accelerate targeted crop improvement for drought stress response, and how this approach can help ensure global food security.",2025,Kaberi Sonowal; Sonal Sharma; Gokul Anil Kumar; Vaishali Gupta; Gulshan Kumar; Prafull Salvi,Physiologia plantarum
40974145,"Selenium-Containing Peptides from Foodstuff: Preparation, Bioavailability, Bioactivities, and Future Perspectives.","Selenium-containing peptides (SePPs) are bioactive compounds with dual nutritional and functional properties, playing key roles in antioxidant defense and immunomodulation. However, selenium (Se)'s narrow therapeutic window limits clinical use, whereas SePPs, incorporating Se elements, offer higher bioavailability and multifunctional benefits. Research indicates that SePPs demonstrate superior performance compared to conventional Se supplements regarding intestinal absorption efficiency, free radical scavenging capacity, and targeted delivery. Recent advances in preparation techniques, including enzymatic hydrolysis, selenization modification, and microbial fermentation, have enabled promising applications of SePPs in hepatoprotection, antioxidative stress, immunomodulation, and antihypertensive treatments. However, industrial production remains constrained by limitations in efficiency, stability, and purity, while the mechanisms of bioavailability and long-term safety require further investigation. This review systematically examines preparation, bioavailability, bioactivities, and applications of SePPs in food and medicine, proposing innovative strategies like nanocarrier delivery and genetic engineering to advance functional foods and precision medicine for Se-related diseases.",2025,Lingyun Gu; Wenzhu Zhao; Jucheng Hu; Mok Wen Jye; Zhipeng Yu,Journal of agricultural and food chemistry
40974075,The utility of artificial intelligence in the management of dengue fever: a perspective on future directions.,"Dengue fever remains a significant public health challenge, particularly in tropical and subtropical regions. With millions affected each year and the increasing prevalence of the disease due to urbanisation and climate change, effective management strategies are crucial. The incorporation of artificial intelligence (AI) in healthcare presents transformative possibilities for the management of dengue fever. AI-driven systems can improve disease surveillance by analyzing extensive volumes of epidemiological, environmental, and socio-behavioral data to identify early warning indicators and forecast outbreak trends. Enhanced diagnostic instruments driven by AI algorithms can expedite and refine case identification, especially in resource-constrained environments. Moreover, AI can enhance targeted vector control tactics by pinpointing high-risk areas and optimizing the implementation of preventive measures. AI can optimize resource allocation in healthcare institutions. These applications have the potential to substantially alleviate the burden of dengue fever, enhance patient outcomes, and fortify health system resilience. As AI technologies progress, their influence in public health is expected to grow, facilitating creative, data-driven strategies that correspond with the United Nations Sustainable Development Goals (SDGs) to enhance global health equity and disease prevention. Continued research, collaboration, and community engagement will be crucial to realising the full potential of AI in addressing this pressing public health challenge.",2025,Mohammed Hussein; Elshimaa Ali; Yassin Kamal; Ali Elhouni; E L Mardi Ems; Yousif Eltayeb; Ali Awadallah Saeed; Ahmed Hassan Fahal,Transactions of the Royal Society of Tropical Medicine and Hygiene
40974058,Complex effects of climatic variation on bumblebee queen fitness.,"Climate change is a global biodiversity threat. To understand how a changing climate affects individual fitness and gain insights into which mechanisms are responsible, we need to establish how climatic variation affects individual life-history traits (e.g. growth, survival and reproduction). Long-term data linking insect life histories and climate parameters are therefore valuable but, unfortunately, rare. Here, we test how climatic variation affects health, survival and reproduction in a key European pollinator, the buff-tailed bumblebee Bombus terrestris. We relate climatic variation experienced by developing queens in the field, caught between 2000 and 2014, to fitness traits assayed in these queens under otherwise constant lab conditions. We show that wet years consistently reduce queen fitness, while warm temperatures have positive and negative impacts. Behind these annual effects lies strong seasonality. In particular, climatic conditions experienced by young queens as they forage, mate and enter hibernation are vital determinants of whether they reproduce the following spring. Results suggest that climatic drivers that reduce queen resource acquisition prior to hibernation, or accelerate resource loss over winter, are especially detrimental to spring queen fitness. This suggests a strategy to mitigate the negative effects of climate change on bumblebees: ensuring high-quality forage late in summer before queens enter diapause.",2025,Ruth Archer; Paul Schmid-Hempel; Regula Schmid-Hempel; Lena Wilfert,The Journal of animal ecology
40974010,Genome-Scale Metabolic Models in Plant Stress Physiology: Implications for Future Climate Resilience.,"Global climate change will result in plants being subjected to abiotic stresses with greater frequency and intensity. Such stresses necessarily impact the metabolic network, both in terms of its structure and fluxes. The construction and analysis of Genome-Scale Metabolic Models (GEMs) has proved to be a useful tool for both the prediction of the effects of climate change on metabolism and identification of targets for breeding increased resilience. In this review, we first explain how such GEMs are constructed and how fluxes can be predicted, providing a detailed account of how models can be developed to capture metabolic variations across both space and time. Whilst a growing field, the number of plant GEMs is lower than that of other taxa, and here we discuss the reasons behind this disparity and propose solutions. We then highlight studies that have investigated the effects of changing CO2 concentrations, drought and high temperature on metabolism, making use of innovations in the construction of context specific and multi-organ models. CAM and C4 are also discussed as types of photosynthesis that are typically associated with tolerance of high temperatures and low water availability. Overall, we aim to demonstrate that plant GEMs can be a useful addition to the physiologist's toolkit and can generate important insights and testable hypotheses regarding plant responses to stress.",2025,Érica Mangaravite; Christina Cleo Vinson; Eduardo Luís Menezes de Almeida; Thomas Christopher Rhys Williams,Plant physiology
40973995,Underexplored Microbiota of Testate Amoeba in Southeast Asian Ecosystems: A Systematic Review and Meta-Analysis.,"Single-celled protists, such as testate amoebae, have garnered significant attention as potential bioindicators which translate into their recognition of being ecologically sensitive. They are known for their use in ecological and paleoecological studies, yet their diversity and distribution remain poorly documented in blind spot regions of the Paleotropics. This study systematically consolidates all published species records of testate amoebae, evaluates spatial research bias, and assesses regional richness from Southeast Asian countries. A comprehensive literature search was conducted across digital databases and web-based repositories. In total, there are 497 testate amoebae belonging to 70 genera, including infra-specific species from the 46 studies scoped in this review. Species richness curves revealed steep trajectories in under sampled countries, indicating untapped diversity. Despite geographical proximity, the seeming overlap of species per country was limited, pointing toward predominance of species turnover than nested clustering of richness. This disjunct pattern in species composition suggests the influence of potential ecological specialization or, perhaps, a mere result of uneven research effort in the unexplored regions. The research for testate amoebae has been in a progressive state, yet strong emphasis needs addressing species exploration in response to intensified climate change and degradation of habitats as these would mean potential biodiversity loss.",2025,Christon Jairus M Racoma; Leila L Tomacas; Nikki Heherson A Dagamac; Yonas Isaak Tekle,The Journal of eukaryotic microbiology
40973973,Well-being of persons preparing extensive health and social services reform.,"An extensive health and social services reform was implemented in Finland at the beginning of 2023. To describe the working conditions and well-being of persons preparing extensive organizational changes, to compare their results to the reference group, to analyse whether unreasonable workload impacted work recovery, psychosocial distress, work ability and work performance, and to analyse whether the changes in work recovery, psychosocial distress and work ability were associated with a change in work performance. Data were collected by four surveys from reform preparers in 2022 in open cohort settings. Descriptive statistics were used to report the preparers' situation and in relation to the reference group at the endpoint. Further, covariance and linear regression analyses were performed to study the associations between start and endpoint data (N = 340). While putting in significant effort, decreasing proportions of preparers experienced leader support, participatory safety and opportunities for innovation. Many preparers had unreasonable workload, a significant proportion working long hours and doing preparation work alongside their main responsibilities. Their situation was notably worse on various work-related indicators compared to the reference group. Unreasonable workload and adverse changes in working conditions decreased the well-being of many preparers, impacting their work performance. When preparing for extensive organizational changes, the focus should be on leading preparers' collaboration and work processes. Leadership should support innovation, foster a positive team climate, ensure participatory safety and provide a reasonable workload to support well-being. Good working conditions are important as they promote better well-being, work ability and performance.",2025,J Laitinen; K Selander; H Lahti; K Reuna; R Nikunlaakso,"Occupational medicine (Oxford, England)"
40973808,Meta-analysis shows that planting nitrogen-fixing species increases soil organic carbon stock.,"Nitrogen (N)-fixing species are widely used in forestation and agriculture. The effects of planting N-fixing species on soil organic carbon (SOC) stock, however, remain uncertain, limiting policy development and their application towards a possible climate change mitigation strategy. Here we conduct a global meta-analysis of 385 datapoints from 136 studies comparing SOC stock with planting N-fixing versus non-N-fixing species. Planting N-fixing species increases SOC stock by 16% compared with non-N-fixing species. This SOC increase is closely accompanied by soil N increases, with an average accumulation of 7.8 g of SOC per gram of soil N increase. Climate mediates SOC responses, with greater SOC sequestration observed in drier and warmer regions, particularly in the tropics. We estimate that an additional increase of 0.29-0.75 PgC yr<sup>-1</sup> in global SOC stock could be achieved by adopting N-fixing species for forestation, agriculture and regeneration of marginal lands, highlighting their potential for climate change mitigation.",2025,Xibin Sun; Ji Chen; Yakov Kuzyakov; Yi Yang; Gabriel W D Ferreira; Raúl Ochoa-Hueso; Carsten W Mueller; Zhenchuan Wang; Yixue Hong; Dejun Li; Hao Chen,Nature ecology & evolution
40973791,A dominant subgroup of marine Bathyarchaeia assimilates organic and inorganic carbon into unconventional membrane lipids.,"Bathyarchaeia, an abundant and ecologically versatile archaea found commonly in marine sediments, has a key role in the global carbon cycle. However, its lipid biomarkers and carbon assimilation mechanisms are poorly understood. Here, using a highly enriched Bathyarchaeia culture (>95% archaea) obtained from estuarine sediment of the East China Sea, we show that Baizosediminiarchaeum (formerly subgroup Bathy-8), the most abundant and widespread Bathyarchaeia group on Earth, synthesizes butanetriol dialkyl glycerol tetraethers (BDGTs) as its dominant membrane lipids. BDGTs are unusual archaeal tetraether lipids characterized by a butanetriol backbone instead of the typical glycerol, challenging fundamental assumptions in archaeal lipid biochemistry. Although BDGTs have been previously identified in the methanogen Methanomassiliicoccus luminyensis, we now provide direct evidence that Bathyarchaeia also synthesizes BDGTs, definitively establishing this globally abundant group as a natural BDGT producer. Stable isotope probing with <sup>13</sup>C-bicarbonate shows that Baizosediminiarchaeum assimilates carbon into BDGTs from both inorganic carbon and lignin. These unique carbon assimilation strategies suggest the biogeochemical importance of Baizosediminarchaeum in marine carbon cycling and organic matter decomposition.",2025,Liang Dong; Yunge Jing; Jialin Hou; Jiaming Zhou; Tiantian Yu; Shijie Chen; Lewen Liang; Pengfei Zhu; Xiaoxiao Zhao; Kai-Uwe Hinrichs; Fengping Wang,Nature microbiology
40973683,Members of the lichen photobiont genus Trebouxia show species-specific photo-physiological and transcriptome-level responses to high light.,"Members of the common lichen photobiont Trebouxia occur in all terrestrial habitats, from the arctic to the tropics, however, the mechanisms of environmental stress tolerance in Trebouxia are little understood. Currently, lineages belonging to this genus are grouped into clades A, C, I, S, D. Here we study six species, which belong to the S-Clade and A-Clade of Trebouxia, and were isolated from the lichen-forming fungi Umbilicaria pustulata and U. phaea. Three of the Trebouxia species have a climatic niche preference at low elevation (Mediterranean climate), two at high elevation (cold temperate climate), and one is found in both climate zones. These species have demonstrated extensive genomic divergence, particularly in genome regions associated with photosynthesis. Therefore, we hypothesize that they will exhibit differential performance under varying light conditions. We assessed physiological and transcriptomic responses to high light (HL) (control: 60 µmol photons/m2/s; HL:150 µmol photons/m2/s) using a controlled environmental chamber. We examined the cultures´ responses after 1 hour and 3 days (12 hours per day) of HL exposure. We measured photo-physiological parameters including maximum quantum yield (Fv/Fm), non-photochemical quenching (NPQ) and chlorophyll a (chl a) concentration in combination with differential gene expression analysis via RNASeq. Average levels of Fv/Fm and NPQ showed significant reduction following HL exposure, however, this varied among species. Species from high elevation (i.e. Trebouxia S12 C0006 and A10 C0009) exhibited relatively high NPQ capacity throughout the experiment. There was no significant change in average chl a concentration. Further, only a few differentially expressed genes (DEGs) were found for specific species following exposure to 1 hour HL, including those associated with chloroplast thylakoid membrane, transposon TX1 and photorespiration. On the other hand, there are more DEGs found for all Trebouxia species exposed to prolonged HL, which involved genes associated to DNA biosynthetic process, cell cycle and cell wall organization. Photoprotection-associated genes related to NPQ, photosystem II repair, oxygen evolving assembly and biosynthesis of photoprotective pigments (carotenoid and chl) also showed differential expression due to prolonged HL. Overall, our findings show that in Trebouxia the capacity to withstand high light conditions is highly species-specific, and not driven by phylogenetic relatedness, or climatic niche preference. We do not observe parallel patterns in species preferring similar climatic niches, with the exception of species from high elevation (Trebouxia S12 C0006 and A10 C0009), which exhibit generally high NPQ capacity.",2025,Rosa Celia Poquita-Du; Jürgen Otte; Nicolas Herrmann; Claudia Büchel; Imke Schmitt,Journal of experimental botany
