UID,DOI,Title,Year,Journal,Authors
BCI:BCI202200469352,N/A,<i>illustrated</i> flora of tajikistan <i>and adjacent areas</i> abstracts,2020,N/A,N/A
BCI:BCI202200378750,N/A,water-carbon dynamics in eastern siberia,2019,N/A,N/A
BCI:BCI202200339832,10.1007/978-3-030-75525-6,ecological physiology of daily torpor and hibernation,2021,N/A,"Geiser, F"
BCI:BCI202200227119,N/A,land cover and land use change on islands:social & ecological threats to sustainability,2020,N/A,N/A
BCI:BCI202200211337,N/A,"forest fires:causes, effects, monitoring, precautions and rehabilitation activities",2021,N/A,N/A
BCI:BCI202200228140,10.1007/978-3-030-46409-7,no-till farming systems for sustainable agriculture:challenges and opportunities,2020,N/A,N/A
BCI:BCI202200173638,N/A,ecosystem collapse and climate change,2021,N/A,N/A
BCI:BCI202200126562,N/A,climate change and vegetation-one global overview,2020,N/A,"Hauck, M; Leuschner, C; Homeier, J"
BCI:BCI202200119875,N/A,endophytes for a growing world,2019,N/A,N/A
BCI:BCI202200118854,10.1007/978-3-030-01036-2,climate change impacts on basin agro-ecosystems,2019,N/A,N/A
BCI:BCI202200043376,N/A,carbon sequestration in agricultural ecosystems,2018,N/A,"Lorenz, K; Lal, R"
BCI:BCI202200037517,10.1017/9781108674614,"air pollution:concepts, theory, and applications",2019,N/A,"Seigneur, C"
BCI:BCI202200040568,N/A,behavior of radionuclides in the environment i:function of particles in aquatic system,2020,N/A,N/A
BCI:BCI202200065416,N/A,neotoma paleoecology database:a research-outreach nexus,2018,N/A,N/A
BCI:BCI202200063168,N/A,life in extreme environments:insights in biological capability,2021,N/A,N/A
BCI:BCI202200073035,N/A,state of the apes:infrastructure development and ape conservation,2018,N/A,N/A
BCI:BCI202200037321,N/A,advances in plant breeding strategies:nut and beverage crops,2019,N/A,N/A
BCI:BCI202200044278,N/A,chocolate crisis:climate change and other threats to the future of cacao,2021,N/A,"Walters, D"
BCI:BCI202200052390,N/A,international marine mammal law,2020,N/A,"Sellheim, N"
BCI:BCI202200040969,N/A,biological extinction: new perspectives,2019,N/A,N/A
BCI:BCI202200063147,N/A,lgm distribution of dominant tree genera in northern china's forest-steppe ecotone and their postglacial migration,2018,N/A,"Hao, Q"
BCI:BCI202200032907,N/A,interaction of food industry and environment,2021,N/A,N/A
BCI:BCI202200025728,N/A,"sustainability of the food system:sovereignty, waste, and nutrients bioavailability",2020,N/A,N/A
BCI:BCI202200111921,10.1007/978-981-15-0156-2,rediscovery of genetic and genomic resources for future food security,2020,N/A,N/A
BCI:BCI202200045225,10.1007/978-3-030-29918-7,community and climate resilience in the semi-arid tropics:a journey of innovation,2020,N/A,N/A
BCI:BCI202100905200,N/A,ecological justice and the extinction crisis:giving living beings their due,2020,N/A,"Wienhues, A"
BCI:BCI202200046291,10.1007/978-3-030-35586-9,deficit irrigation:a remedy for water scarcity,2020,N/A,"Ouda, S; Zohry, AE; Noreldin, T"
ZOOREC:ZOOR00100000200,N/A,[title unknown.],1864,Journal fuer Ornithologie,"Rosenberg, G. Von"
WOS:000188270900096,10.1038/084178a0,does the indian climate change?,1910,NATURE,"Lockyer, WJS"
WOS:000206870200033,N/A,the problem of climate change in historical times,1915,BULLETIN OF THE AMERICAN GEOGRAPHICAL SOCIETY OF NEW YORK,"Ward, R. DeC."
WOS:000204625900025,N/A,the problem of climate change in historical times,1916,PETERMANNS MITTEILUNGEN,"Eckardt, W. R."
WOS:000206035900022,10.2307/208439,the system of earth movements and climate change of the quaternary in the baltic sea basin,1924,GEOGRAPHICAL REVIEW,"Antevs, Ernst"
WOS:000204613300012,N/A,the climate of the most recent times and the question of current climate change,1925,PETERMANNS MITTEILUNGEN,"Gams, H."
WOS:000204598100007,N/A,what reasons brought about the postglacial climate change?,1931,PETERMANNS MITTEILUNGEN,"Noelke, Friedrich"
